1; 1; 87463292; 22-07-2024; 10:00; 22-07-2024; "unico"; 45,00;
1; 6; 87463292; 24-07-2024; 09:30; 28-07-2024; "diario"; 125,00;
2; 3; 65416257; 08-09-2024; 11:00; 08-09-2024; "unico"; 60,00;
2; 8; 65416257; 09-09-2024; 08:30; 10-09-2024; "cada dos dias"; 36,00;
3; 4; 26363992; 10-10-2024; 10:00; 12-10-2024; "diario"; 60,00;
3; 7; 26363992; 11-10-2024; 15:30; 11-10-2024; "unico"; 35,00;
4; 2; 65416257; 17-11-2024; 09:00; 17-11-2024; "unico"; 30,00;
4; 6; 65416257; 18-11-2024; 10:00; 20-11-2024; "diario"; 75,00;
4; 5; 65416257; 21-11-2024; 14:00; 21-11-2024; "evento"; 75,00;
5; 1; 87463293; 03-05-2025; 10:00; 03-05-2025; "unico"; 45,00;
5; 4; 87463293; 04-05-2025; 09:00; 06-05-2025; "cada dos dias"; 60,00;
5; 6; 87463293; 07-05-2025; 08:30; 08-05-2025; "diario"; 50,00;
